index,filename,width,height,mse,psnr,error
215,279_img_.png,1280,805,2173.8798828125,14.758448600769043,
216,27_img_.png,640,480,2455.33203125,14.22970199584961,
217,280_img_.png,640,480,2125.132080078125,14.85694408416748,
218,281_img_.png,640,480,2175.701171875,14.75481128692627,
219,282_img_.png,294,171,516.5586547851562,20.99960708618164,
220,284_img_.png,276,182,1261.6864013671875,17.12129020690918,
221,285_img_.png,640,480,964.9825439453125,18.28561019897461,
222,287_img_.png,1280,859,1166.814208984375,17.460786819458008,
223,2882.png,1280,720,2516.133056640625,14.123468399047852,
224,288_img_.png,259,194,2074.410888671875,14.961856842041016,
225,28_img_.png,1200,900,573.8143310546875,20.5430908203125,
226,290_img_.png,310,163,975.2459716796875,18.239662170410156,
227,292_img_.png,259,194,407.51300048828125,22.029390335083008,
228,293_img_.png,259,194,5406.10693359375,10.801958084106445,
229,294_img_.png,286,176,1717.9307861328125,15.780746459960938,
230,295_img_.png,300,168,1284.9215087890625,17.042037963867188,
231,296_img_.png,640,480,1411.6417236328125,16.633560180664062,
232,2977.png,1280,720,2390.888427734375,14.345211029052734,
233,298_img_.png,820,545,1306.669677734375,16.969146728515625,
234,299_img_.png,239,211,169.50296020507812,25.839031219482422,
235,29_img_.png,1200,732,203.70375061035156,25.040815353393555,
236,2_img_.png,1280,799,11.657801628112793,37.464637756347656,
237,3001.png,1280,720,1821.400390625,15.526750564575195,
238,300_img_.png,276,183,1979.6431884765625,15.164934158325195,
239,3015.png,1280,720,401.5677795410156,22.093217849731445,
240,301_img_.png,313,161,2195.822021484375,14.714832305908203,
241,302_img_.png,300,168,2156.9609375,14.792381286621094,
242,303_img_.png,275,183,1024.5533447265625,18.02545738220215,
243,304_img_.png,259,194,2252.988525390625,14.603214263916016,
244,305_img_.png,275,183,473.73541259765625,21.375446319580078,
245,306_img_.png,300,168,672.0093383789062,19.8570499420166,
246,307_img_.png,300,168,567.6737670898438,20.58981704711914,
247,30_img_.png,850,564,1745.043701171875,15.71274185180664,
248,31.png,1280,720,517.0181274414062,20.99574851989746,
249,311_img_.png,275,183,392.20574951171875,22.19566535949707,
250,312_img_.png,318,159,838.3944702148438,18.896320343017578,
251,313_img_.png,300,168,1034.275146484375,17.98444366455078,
252,314_img_.png,287,176,1190.9749755859375,17.371776580810547,
253,315_img_.png,266,190,1414.6279296875,16.62438201904297,
254,316_img_.png,275,183,623.8784790039062,20.179805755615234,
255,317_img_.png,275,184,974.4466552734375,18.243223190307617,
256,318_img_.png,275,183,1762.495361328125,15.669525146484375,
257,3196.png,1280,720,668.5652465820312,19.879365921020508,
258,319_img_.png,259,194,2116.398193359375,14.87483024597168,
259,3202.png,1280,720,879.0526733398438,18.690654754638672,
260,320_img_.png,275,183,412.996337890625,21.971342086791992,
